Date ,Tweet,,,,,,,,,,Mention
6/3/16 12:14,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 04 June 2016 - 3:50 AM... http://fb.me/4JR1fTX23 ,,,,,,,,,,@phivolcs_dost
1/10/16 3:47,"#Mindanao, #Binaha #Dahil sa #Bagyong '#Onyok'",,,,,,,,,,@ABSCBNNews
6/3/16 12:13,#EarthquakePH #EarthquakeSurigaoDelSur Earthquake Information No. 1 Date and Time: 04 June 2016 - 3:49 AM... http://fb.me/2HEGcXMeD ,,,,,,,,,,@phivolcs_dost
6/3/16 9:59,#EarthquakePH #EarthquakeNorthernSamar Earthquake Information No. 2 Date and Time: 04 June 2016 - 1:13 AM... http://fb.me/2gOZgGl3W ,,,,,,,,,,@phivolcs_dost
6/3/16 9:58,#EarthquakePH #EarthquakeNorthernSamar Earthquake Information No. 1 Date and Time: 04 June 2016 - 1:13 AM... http://fb.me/1dLwsHWZy ,,,,,,,,,,@phivolcs_dost
6/2/16 21:33,#EarthquakePH #EarthquakeAgusanDelNorte #iFelt_AgusanDelNorte Earthquake Information No. 2 Date and Time: 02 June... http://fb.me/1m7wgDIXA ,,,,,,,,,,@phivolcs_dost
7/11/16 16:19,"#SuperBalitaSaHapon: China, binabayo ngayon ng Bagyong Chan-hom na tinawag na Bagyong #FalconPH dito sa Pilipinas.",,,,,,,,,,@dzbb
6/3/16 9:56,#EarthquakePH #EarthquakeIsabela Earthquake Information No. 1 Date and Time: 04 June 2016 - 12:50 AM Magnitude =... http://fb.me/2MxE03213 ,,,,,,,,,,@phivolcs_dost
6/3/16 5:18,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 03 June 2016 - 8:56 PM... http://fb.me/15GmJ6nVR ,,,,,,,,,,@phivolcs_dost
12/16/15 18:32,"JUST IN: Bagyong #Onyok, napanatili ang kanyang lakas habang patuloy na nagbabanta sa Caraga region.",,,,,,,,,,@dzbb
6/3/16 4:51,#EarthquakePH #EarthquakeBatanes Earthquake Information No. 2 Date and Time: 03 June 2016 - 7:50 PM Magnitude =... http://fb.me/8aLBO3Xz7 ,,,,,,,,,,@phivolcs_dost
6/2/16 19:32,#EarthquakePH #EarthquakeSurigaoDelSur Earthquake Information No. 1 Date and Time: 03 June 2016 - 11:13 AM... http://fb.me/5icL14Hci ,,,,,,,,,,@phivolcs_dost
7/11/15 16:19,"#SuperBalitaSaHapon: Daan-daang libong residente sa China, inilikas bilang pag-iingat sa bagyo. http://gmanetwork.com/radio/streaming ",,,,,,,,,,@dzbb
12/16/15 0:52,"#Onyok, inaasahang tatama sa silangang bahagi ng MIndanao, Biyernes ng hapon",,,,,,,,,,@DZMMTeleRadyo
6/2/16 1:15,#EarthquakePH #EarthquakePangasinan Earthquake Information No. 1 Date and Time: 02 June 2016 - 04:59 PM Magnitude... http://fb.me/6294xjlaI ,,,,,,,,,,@phivolcs_dost
6/1/16 23:45,#EarthquakePH #EarthquakeCagayan Earthquake Information No. 1 Date and Time: 02 June 2016 - 03:22 PM Magnitude =... http://fb.me/2gLWeOMbb ,,,,,,,,,,@phivolcs_dost
6/1/16 22:29,#EarthquakePH #EarthquakeOccidentalMindoro Earthquake Information No. 1 Date and Time: 02 June 2016 - 02:11 PM... http://fb.me/CKYvyksm ,,,,,,,,,,@phivolcs_dost
7/11/15 4:05,Typhoon #FalconPH umalis na ng bansa ngunit habagat patuloy na magpapaulan sa malaking bahagi ng bansa. #MagandangUmagaPilipinas,,,,,,,,,,@dzrhnews
6/1/16 21:57,#EarthquakePH #EarthquakeSurigaoDelSur Earthquake Information No. 1 Date and Time: 02 June 2016 - 01:42 PM... http://fb.me/1aK8VhWJA ,,,,,,,,,,@phivolcs_dost
6/9/16 17:07,"#LINDOL - Magnitude 5 (3:54AM) - 12 km SW of Ambaguio, Nueva Vizcaya",,,,,,,,,,@IMReadyPH
7/10/15 8:48,"#walangpasok #FalconPH | July 11, SATURDAY | VALENZUELA | All Levels, Public & Private | accdg. to Mayor Gatchalian",,,,,,,,,,@IMReadyPH
6/9/16 14:31,"Nueva Vizcaya, niyanig ng magnitude 5 na lindol kaninang madaling araw #ACSBalita",,,,,,,,,,@dzrhnews
6/9/16 13:29,"Nueva Vizcaya, niyanig ng magnitude 4.7 na lindol. #DobolBBalitangBalita",,,,,,,,,,@dzbb
6/9/16 12:57,Robert Tiglao ng @phivolcs_dost: Naramdaman ang lindol sa lakas ng intensity 3 sa Baguio City.,,,,,,,,,,@dzbb
7/10/15 8:45,"#walangpasok #FalconPH | July 10, Friday | MABALACAT, PAMPANGA | All Levels, Public & Private | via @PIA_RIII @PDRRMO_Pampanga",,,,,,,,,,@IMReadyPH
6/9/16 12:57,"Ambaguio, Nueva Vizcaya, niyanig ng magnitude 4.7 na lindol kaninang 3:54am ayon kay Robert Tiglao ng @phivolcs_dost",,,,,,,,,,@dzbb
6/7/16 19:48,"EARLIER: Batangas City, niyanig ng magnitude 2.6 lindol (10:46am)",,,,,,,,,,@dzrhnews
6/3/16 4:16,"JUST IN: Itbayat, Batanes, niyanig ng magnitude 5.3 na lindol kaninang alas 7:50 ng gabi ayon sa @phivolcs_dost",,,,,,,,,,@dzIQ990
5/31/16 11:14,"Occidental Mindoro, niyanig ng magnitude 4.8 na lindol kaninang hatinggabi. | @olanbola",,,,,,,,,,@dzbb 
05/26/1611:18 PM ,"JUST IN: Magnitude 3.8 lindol tumama sa Sagbayan, Bohol (1:48pm)",,,,,,,,,,@dzrhnews
5/23/16 20:37,"Ilocos Sur, niyanig ng magnitude 4.9 na lindol. #SuperBalitaSaTanghaliNationwide",,,,,,,,,,@dzrhnews
5/23/16 17:41,"#LINDOL - Mag. 4.9 - 8km NW of Santa Maria, Ilocos Sur | @phivolcs_dost",,,,,,,,,,@IMReadyPH
5/23/16 17:00,"FLASH REPORT: Magnitude 4.9 na lindol, tumama sa Ilocos Sur alas-7:57 Martes ng umaga | Ulat ni @Dennis_Datu",,,,,,,,,,@DZMMTeleRadyo
5/23/16 16:43,"Magnitude 4.68 na lindol, tumama sa Santa Catalina, Ilocos Sur pasado 7:58 ng umaga, May 24 | via @phivolcs_dost",,,,,,,,,,@dwiz882
